IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.210.3.24,8443,8443,true,HKG,Asia Pacific,Hong Kong,145,0.00
8.219.240.160,2095,2095,false,SIN,Asia Pacific,Singapore,248,0.00
47.243.18.199,2053,2053,true,HKG,Asia Pacific,Hong Kong,10,0.00
47.236.87.246,2095,2095,false,SIN,Asia Pacific,Singapore,249,0.00
8.217.123.243,2096,2096,true,HKG,Asia Pacific,Hong Kong,12,0.00
47.236.254.120,8080,8080,false,SIN,Asia Pacific,Singapore,250,0.00
47.236.130.95,80,80,false,SIN,Asia Pacific,Singapore,516,0.00
8.222.156.242,2053,2053,true,SIN,Asia Pacific,Singapore,250,0.00
47.243.18.199,2083,2083,true,HKG,Asia Pacific,Hong Kong,10,0.00
47.237.86.185,2087,2087,true,SIN,Asia Pacific,Singapore,251,0.00
47.236.254.120,2095,2095,false,SIN,Asia Pacific,Singapore,248,0.00
47.250.36.113,80,443,true,SIN,Asia Pacific,Singapore,68,0.00
47.236.87.246,2082,2082,false,SIN,Asia Pacific,Singapore,250,0.00
47.236.172.71,8880,8880,false,SIN,Asia Pacific,Singapore,252,0.00
